Companies,Career Page Link,Applied,Application status,Referral ?,Status
Agoda,,True,,,not return
Single source,https://www.singlestore.com/,True,,,not selected
Google,https://careers.google.com/,True,,,not return
Myntra,https://careers.myntra.com/,True,,,not return
Atlassian,https://www.atlassian.com/company/careers,True,,,not return
Twillio,https://www.twilio.com/company/jobs,True,,,not return
Phonepe,https://www.phonepe.com/careers,True,,,not selected
Uber,https://www.uber.com/global/en/careers/,True,,,not selected
Paypal,https://www.paypal.com/us/webapps/mpp/jobs,True,,,not return
Nutanix,https://www.nutanix.com/company/careers,True,,,rejection before interview
Linkedin,https://www.linkedin.com/jobs/,True,,,not return
Wingify,https://wingify.com/careers/,True,,,not return
Rippling,https://www.rippling.com/careers,True,,,not return
Autodesk,https://www.autodesk.com/careers,True,,,not return
Adobe,https://www.adobe.com/careers.html,True,,,not return
Microsoft,https://careers.microsoft.com/us/en,True,,,not return
Rubrik,https://www.rubrik.com/company/careers,True,,,rejection before interview
Salesforces,https://www.salesforce.com/company/careers/,True,,,rejection before interview
Mastercard,https://www.mastercard.us/en-us/about-mastercard/careers.html,True,,,not return
Flipkart,https://www.flipkartcareers.com/,True,,,not selected
Amazon,https://www.amazon.jobs/en-gb/,True,,,not return
Expedia,https://lifeatexpediagroup.com/,True,,,rejection before interview
abnoral security,,False,https://mail.google.com/mail/u/2/#inbox/FMfcgzGwJvpdRLBghRpqFrNGjfGslnGf,No,not return
motive,https://gomotive.com/company/careers/,False,,,not return
coindcx,https://careers.coindcx.com/,False,,,not return
Hackerrank,https://boards.greenhouse.io/hackerrank/jobs/5128049?gh_jid=5128049&gh_src=1836e8621us,False,,,not return
Chegg,https://www.chegg.com/about/careers/,False,,,not return
Codenation,https://codenation.com/careers,False,,,not return
Freecharge,https://www.freecharge.in/careers,False,,,not return
Payu,https://www.payu.com/careers/,False,,,not return
Dremio,https://www.dremio.com/careers/,False,,,not return
Moengage,https://www.moengage.com/careers/,False,,,not return
Sprinklr,https://www.sprinklr.com/careers/,False,,,not return
Walmart,https://careers.walmart.com/,False,,,not return
Anthem,https://www.antheminc.com/careers,False,,,not return
Far Eye,https://www.getfareye.com/careers,False,,,not return
Ion Trading,https://www.iongroup.com/careers/,False,,,not return
Salesken,https://www.salesken.ai/careers/,False,,,not return
Infoedge,https://www.infoedge.com/careers,False,,,not return
Inmobi,https://www.inmobi.com/careers/,False,,,not return
Cloud Lending,https://www.cloudlendinginc.com/careers,False,,,not return
Couchbase,https://www.couchbase.com/careers,False,,,not return
Urban Ladder,https://www.urbanladder.com/careers,False,,,not return
Jio,https://careers.jio.com/,False,,,not return
Telstra,https://www.telstra.com.au/aboutus/careers,False,,,not return
Dealshare,https://dealshare.in/careers,False,,,not return
Rivigo,https://rivigo.com/careers/,False,,,not return
Indiamart,https://corporate.indiamart.com/careers/,False,,,not return
Mentor Graphics,https://www.mentor.com/company/careers,False,,,not return
Blackbuck,https://www.blackbuck.com/careers/,False,,,not return
Acko,https://www.acko.com/careers,False,,,not return
Oci,https://www.oracle.com/cloud/iaas.html,False,,,not return
World Quant,https://www.worldquant.com/careers,False,,,not return
Kuvera,https://kuvera.in/careers,False,,,not return
Yellow messenger,https://yellowmessenger.com/careers/,False,,,not return
Prophecy Io,https://www.prophecy.io/careers/,False,,,not return
Airtel X Labs,https://www.airtel.in/airtelx/,False,,,not return
Zupee,https://zupee.in/careers,False,,,not return
Traveloka,https://www.traveloka.com/en-id/careers,False,,,not return
Cashfree,https://www.cashfree.com/careers,False,,,not return
Peak Ai,https://peak.ai/careers/,False,,,not return
Airbase,https://www.airbase.com/careers,False,,,not return
Olx Group,https://www.olxgroup.com/careers/,False,,,not return
Mpl,https://www.mpl.live/careers,False,,,not return
Bright Money,https://www.brightmoney.co/careers,False,,,not return
Moonfrog,https://www.moonfroglabs.com/careers,False,,,not return
Cult. Fit,https://www.cult.fit/careers,False,,,not return
Dunzo,https://www.dunzo.com/careers,False,,,not return
Frontrow,https://www.frontrow.com/careers,False,,,not return
Groww,https://groww.in/careers,False,,,not return
Buyhatke,https://careers.buyhatke.com/,False,,,not return
Simpl,https://getsimpl.com/careers/,False,,,not return
Graviton,https://www.graviton.com/careers,False,,,not return
Nk Securities,https://www.nksecurities.com/careers,False,,,not return
Intuit,https://www.intuit.com/careers/,False,,,not return
Ajio,https://www.ajio.com/careers,False,,,not return
Unacademy,https://unacademy.com/careers,False,,,not return
Ansys,https://www.ansys.com/company/careers,False,,,not return
Tower Research Capital,https://www.tower-research.com/careers/,False,,,not return
Revolut,https://www.revolut.com/en-US/careers,False,,,not return
Target,https://corporate.target.com/careers,False,,,not return
Whatfix,https://whatfix.com/careers/,False,,,not return
Nektar Ai,https://nektar.ai/careers,False,,,not return
Plumhq,https://plumhq.com/careers/,False,,,not return
Instabase,https://instabase.com/careers/,False,,,not return
Daily Rounds,https://www.dailyrounds.org/careers,False,,,not return
Freshworks,https://www.freshworks.com/company/careers/,False,,,not return
Bain & Company,https://www.bain.com/careers/,False,,,not return
Biofourmis,https://www.biofourmis.com/careers,False,,,not return
Airbnb,https://careers.airbnb.com/,False,,,not return
